Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0201_0603Metric",197.795000,-92.575000,180.000000,bottom
"C2","100nF","C_0201_0603Metric",195.800000,-91.345000,-90.000000,bottom
"C3","100nF","C_0201_0603Metric",197.375000,-90.570000,-90.000000,bottom
"C4","100nF","C_0201_0603Metric",196.600000,-89.770000,-90.000000,bottom
"C5","10uF","C_0201_0603Metric",195.405000,-94.150000,180.000000,bottom
"C6","4.7uF","C_0201_0603Metric",194.605000,-95.800000,180.000000,bottom
"C8","0.22uF","C_0201_0603Metric",196.205000,-95.800000,0.000000,bottom
"C9","4.7uF","C_0201_0603Metric",196.205000,-96.600000,0.000000,bottom
"C11","0.22uF","C_0201_0603Metric",200.200000,-95.825000,0.000000,bottom
"C12","4.7uF","C_0201_0603Metric",200.205000,-96.600000,0.000000,bottom
"C13","0.22uF","C_0201_0603Metric",197.400000,-95.420000,-90.000000,bottom
"C14","0.22uF","C_0201_0603Metric",198.600000,-95.800000,180.000000,bottom
"C15","4.7uF","C_0201_0603Metric",198.580000,-96.600000,180.000000,bottom
"C16","0.22uF","C_0201_0603Metric",196.625000,-94.645000,90.000000,bottom
"C17","0.22uF","C_0201_0603Metric",194.605000,-97.350000,180.000000,bottom
"C18","4.7uF","C_0201_0603Metric",194.605000,-96.650000,180.000000,bottom
"C21","0.22uF","C_0201_0603Metric",195.445000,-89.375000,180.000000,bottom
"C22","0.22uF","C_0201_0603Metric",194.600000,-91.000000,0.000000,bottom
"C23","0.22uF","C_0201_0603Metric",194.605000,-91.800000,0.000000,bottom
"C24","0.22uF","C_0201_0603Metric",192.600000,-92.205000,90.000000,bottom
"C25","33uF","C_0201_0603Metric",189.575000,-92.800000,90.000000,bottom
"C26","0.22uF","C_0201_0603Metric",195.480000,-90.275000,180.000000,bottom
"C27","0.22uF","C_0201_0603Metric",197.005000,-91.775000,180.000000,bottom
"C28","4.7uF","C_0201_0603Metric",199.025000,-92.220000,90.000000,bottom
"C29","0.22uF","C_0201_0603Metric",191.050000,-94.545000,-90.000000,bottom
"C30","22uF","C_0201_0603Metric",195.450000,-88.600000,180.000000,bottom
"C31","0.22uF","C_0201_0603Metric",191.800000,-94.520000,-90.000000,bottom
"C33","0.22uF","C_0201_0603Metric",191.800000,-93.080000,90.000000,bottom
"C35","4.7uF","C_0201_0603Metric",192.600000,-93.820000,-90.000000,bottom
"C36","22uF","C_0201_0603Metric",191.050000,-93.095000,90.000000,bottom
"C37","4.7uF","C_0201_0603Metric",193.905000,-88.600000,0.000000,bottom
"C38","100nF","C_0201_0603Metric",193.905000,-89.450000,0.000000,bottom
"C39","100nF","C_0201_0603Metric",193.905000,-90.200000,0.000000,bottom
"C40","DNP","C_0201_0603Metric",195.400000,-87.000000,0.000000,bottom
"C41","4.7uF","C_0201_0603Metric",194.175000,-93.005000,-90.000000,bottom
"C42","4.7uF","C_0201_0603Metric",193.450000,-93.795000,-90.000000,bottom
"C43","100nF","C_0201_0603Metric",195.000000,-93.020000,-90.000000,bottom
"C44","100nF","C_0201_0603Metric",193.450000,-92.180000,90.000000,bottom
"C52","0.1uF","C_0201_0603Metric",195.775000,-93.020000,90.000000,bottom
"L1","4.7uH","L_0201_0603Metric",189.575000,-94.270000,90.000000,bottom
"R23","4.7k","R_0201_0603Metric",200.600000,-90.540000,-90.000000,bottom
"R24","4.7k","R_0201_0603Metric",198.605000,-89.400000,0.000000,bottom
"R39","30k","R_0201_0603Metric",191.390000,-91.800000,180.000000,bottom
"R44","10k","R_0201_0603Metric",182.175000,-97.525000,-90.000000,bottom
