Designator,Mid X,Mid Y,Rotation,Layer
C7,169.47,-131.15,0,T
C10,169.475,-126.525,0,T
C19,203.2,-96.48,90,T
C20,203.2,-97.945,-90,T
C32,204.2,-91.57,-90,T
C34,204.175,-88.8,-90,T
C45,201.775,-72.65,180,T
C46,193.225,-69.125,-90,T
C47,199.45,-81.425,90,T
C48,196.17,-71.925,180,T
C49,209.55,-84.275,180,T
C50,209.55,-82.7,180,T
C51,214.3,-83.95,90,T
D1,182.25,-128,-90,T
D2,198.95,-61.325,-90,T
D3,202.55,-67.4875,-90,T
D4,214.725,-77.625,-90,T
IC1,190,-78.65,180,T
J2,180.6,-137.225,0,T
J3,158.15,-110.3,0,T
J4,210.425,-57.65,0,T
J5,215.75,-89.69,180,T
J6,158.15,-98.05,0,T
J7,162.825,-98.075,0,T
J8,196.6,-108.3,90,T
J9,215.025,-62.7,180,T
J10,162.725,-118.7,-90,T
J11,219.55,-94.72,180,T
Q1,194,-61.509062,-90,T
Q2,198.9375,-56.7,0,T
Q3,203.6625,-56.7,0,T
R1,178,-63.45,180,T
R2,177.96,-72,180,T
R3,177.96,-70.8,180,T
R4,177.975,-69.45,180,T
R5,177.95,-68.2,180,T
R6,178,-80.45,180,T
R7,178.065,-89.2,180,T
R8,178,-79.2,180,T
R9,177.99,-77.95,180,T
R10,178.05,-87.9,180,T
R11,178,-76.675,180,T
R12,177.95,-64.95,180,T
R13,178,-85.4,180,T
R14,178.05,-86.65,180,T
R15,163.04,-72.025,0,T
R16,163.04,-70.75,0,T
R17,163.015,-69.45,0,T
R18,162.99,-68.225,0,T
R19,163.09,-80.525,0,T
R20,163.1,-79.25,0,T
R21,163.065,-77.975,0,T
R22,163.05,-76.7,0,T
R25,163.1,-89.2,0,T
R26,163.1,-87.95,0,T
R27,163.075,-86.675,0,T
R28,163.065,-85.4,0,T
R31,178.052,-132.334,0,T
R32,183.132,-132.334,0,T
R33,189,-61.925,90,T
R34,187.2,-60.275,-90,T
R35,192.075,-56.65,-90,T
R36,198.95,-64.625,90,T
R37,202.55,-60.83,-90,T
R38,202.575,-64.2,-90,T
R40,168.1,-106.16,-90,T
R41,166.25,-106.085,-90,T
R42,166.25,-103.86,-90,T
R43,166.25,-101.085,-90,T
R45,204.18,-72.74,90,T
R46,205.43,-72.74,-90,T
R47,206.73,-72.74,90,T
R48,208.03,-72.74,-90,T
R49,209.355,-72.755,90,T
R50,202.525,-70.535,90,T
R51,199.24,-72.925,180,T
R52,200.675,-74.485,-90,T
R53,197.025,-67.25,0,T
R54,199.325,-77.525,-90,T
R55,200.65,-78.535,90,T
R56,204.615,-83.45,0,T
R57,211.15,-75.83,90,T
R58,214.725,-80.26,-90,T
R59,212.175,-78.04,90,T
R60,212.15,-80.285,-90,T
R61,207.325,-75.35,180,T
R62,213.525,-73.6,90,T
R63,163,-63.4,0,T
R64,163,-64.9,0,T
R65,192.26,-112.6,0,T
R66,192.26,-111.525,0,T
SW1,170.2,-70.1,180,T
SW2,170.25,-78.6,180,T
SW3,170.24,-87.305,180,T
TP5,153.5,-98.05,0,T
TP6,153.6,-103.05,0,T
TP7,153.5,-107.35,0,T
TP8,153.5,-112,0,T
U1,195.8,-91,0,T
U2,160.825,-128.85,90,T
U3,180.675,-95.525,-90,T
U4,206.6875,-78.825,0,T
U5,196.975,-69.6,0,T
Y1,208.925,-94.75,0,T
Y2,206.65,-89.025,0,T
C1,197.795,-92.575,180,B
C2,195.8,-91.345,-90,B
C3,197.375,-90.57,-90,B
C4,196.6,-89.77,-90,B
C5,195.405,-94.15,180,B
C6,194.605,-95.8,180,B
C8,196.205,-95.8,0,B
C9,196.205,-96.6,0,B
C11,200.2,-95.825,0,B
C12,200.205,-96.6,0,B
C13,197.4,-95.42,-90,B
C14,198.6,-95.8,180,B
C15,198.58,-96.6,180,B
C16,196.625,-94.645,90,B
C17,194.605,-97.35,180,B
C18,194.605,-96.65,180,B
C21,195.445,-89.375,180,B
C22,194.6,-91,0,B
C23,194.605,-91.8,0,B
C24,192.6,-92.205,90,B
C25,189.575,-92.8,90,B
C26,195.48,-90.275,180,B
C27,197.005,-91.775,180,B
C28,199.025,-92.22,90,B
C29,191.05,-94.545,-90,B
C30,195.45,-88.6,180,B
C31,191.8,-94.52,-90,B
C33,191.8,-93.08,90,B
C35,192.6,-93.82,-90,B
C36,191.05,-93.095,90,B
C37,193.905,-88.6,0,B
C38,193.905,-89.45,0,B
C39,193.905,-90.2,0,B
C40,195.4,-87,0,B
C41,194.175,-93.005,-90,B
C42,193.45,-93.795,-90,B
C43,195,-93.02,-90,B
C44,193.45,-92.18,90,B
C52,195.775,-93.02,90,B
L1,189.575,-94.27,90,B
R23,200.6,-90.54,-90,B
R24,198.605,-89.4,0,B
R39,191.39,-91.8,180,B
R44,182.175,-97.525,-90,B
