Ref,Val,Package,PosX,PosY,Rot,Side
"C7","0.47uF","C_0201_0603Metric",169.470000,-131.150000,0.000000,top
"C10","33uF","C_0201_0603Metric",169.475000,-126.525000,0.000000,top
"C19","6pF","C_0201_0603Metric",203.200000,-96.480000,90.000000,top
"C20","6pF","C_0201_0603Metric",203.200000,-97.945000,-90.000000,top
"C32","9pF","C_0201_0603Metric",204.200000,-91.570000,-90.000000,top
"C34","9pF","C_0201_0603Metric",204.175000,-88.800000,-90.000000,top
"C45","10u","C_0201_0603Metric",201.775000,-72.650000,180.000000,top
"C46","100nf","C_0201_0603Metric",193.225000,-69.125000,-90.000000,top
"C47","10u","C_0201_0603Metric",199.450000,-81.425000,90.000000,top
"C48","100nf","C_0201_0603Metric",196.170000,-71.925000,180.000000,top
"C49","10u","C_0201_0603Metric",209.550000,-84.275000,180.000000,top
"C50","10u","C_0201_0603Metric",209.550000,-82.700000,180.000000,top
"C51","10u","C_0201_0603Metric",214.300000,-83.950000,90.000000,top
"D1","PRTR5V0U2X","SOT-143",182.250000,-128.000000,-90.000000,top
"D2","1N4151WS","D_SOD-323",198.950000,-61.325000,-90.000000,top
"D3","GREEN","LED_0603_1608Metric",202.550000,-67.487500,-90.000000,top
"D4","1N4151WS","D_SOD-323",214.725000,-77.625000,-90.000000,top
"IC1","MT48LC16M16A2B4-6A_IT_G_TR","BGA54C80P9X9_800X800X100",190.000000,-78.650000,180.000000,top
"J2","2171790001","MOLEX_2171790001",180.600000,-137.225000,0.000000,top
"J3","Conn_01x04_Socket","PinHeader_1x04_P2.54mm_Vertical",158.150000,-110.300000,0.000000,top
"J4","Conn_01x02_Socket","PinHeader_1x02_P2.54mm_Vertical",210.425000,-57.650000,0.000000,top
"J5","Conn_01x02_Socket","PinHeader_1x02_P2.54mm_Vertical",215.750000,-89.690000,180.000000,top
"J6","Conn_01x04_Socket","PinHeader_1x04_P2.54mm_Vertical",158.150000,-98.050000,0.000000,top
"J7","Conn_01x04_Socket","PinHeader_1x04_P2.54mm_Vertical",162.825000,-98.075000,0.000000,top
"J8","0525592052","0525592052",196.600000,-108.300000,90.000000,top
"J9","Conn_01x03_Socket","PinHeader_1x03_P2.54mm_Vertical",215.025000,-62.700000,180.000000,top
"J10","DF11-10DP-2DSA_24_","SHDR10W50P200_2X5_1200X500X660P",162.725000,-118.700000,-90.000000,top
"J11","Conn_01x04_Socket","PinHeader_1x04_P2.54mm_Vertical",219.550000,-94.720000,180.000000,top
"Q1","FDMQ86530L","FDMQ8203",194.000000,-61.509062,-90.000000,top
"Q2","DMP2240UDM-7","SOT-23-6",198.937500,-56.700000,0.000000,top
"Q3","DMP2240UDM-7","SOT-23-6",203.662500,-56.700000,0.000000,top
"R1","10k","R_0201_0603Metric",178.000000,-63.450000,180.000000,top
"R2","10k","R_0201_0603Metric",177.960000,-72.000000,180.000000,top
"R3","10k","R_0201_0603Metric",177.960000,-70.800000,180.000000,top
"R4","10k","R_0201_0603Metric",177.975000,-69.450000,180.000000,top
"R5","10k","R_0201_0603Metric",177.950000,-68.200000,180.000000,top
"R6","10k","R_0201_0603Metric",178.000000,-80.450000,180.000000,top
"R7","10k","R_0201_0603Metric",178.065000,-89.200000,180.000000,top
"R8","10k","R_0201_0603Metric",178.000000,-79.200000,180.000000,top
"R9","10k","R_0201_0603Metric",177.990000,-77.950000,180.000000,top
"R10","10k","R_0201_0603Metric",178.050000,-87.900000,180.000000,top
"R11","10k","R_0201_0603Metric",178.000000,-76.675000,180.000000,top
"R12","10k","R_0201_0603Metric",177.950000,-64.950000,180.000000,top
"R13","10k","R_0201_0603Metric",178.000000,-85.400000,180.000000,top
"R14","10k","R_0201_0603Metric",178.050000,-86.650000,180.000000,top
"R15","1k","R_0201_0603Metric",163.040000,-72.025000,0.000000,top
"R16","1k","R_0201_0603Metric",163.040000,-70.750000,0.000000,top
"R17","1k","R_0201_0603Metric",163.015000,-69.450000,0.000000,top
"R18","1k","R_0201_0603Metric",162.990000,-68.225000,0.000000,top
"R19","1k","R_0201_0603Metric",163.090000,-80.525000,0.000000,top
"R20","1k","R_0201_0603Metric",163.100000,-79.250000,0.000000,top
"R21","1k","R_0201_0603Metric",163.065000,-77.975000,0.000000,top
"R22","1k","R_0201_0603Metric",163.050000,-76.700000,0.000000,top
"R25","1k","R_0201_0603Metric",163.100000,-89.200000,0.000000,top
"R26","1k","R_0201_0603Metric",163.100000,-87.950000,0.000000,top
"R27","1k","R_0201_0603Metric",163.075000,-86.675000,0.000000,top
"R28","1k","R_0201_0603Metric",163.065000,-85.400000,0.000000,top
"R31","5.1k","R_0201_0603Metric",178.052000,-132.334000,0.000000,top
"R32","5.1k","R_0201_0603Metric",183.132000,-132.334000,0.000000,top
"R33","10k","R_0201_0603Metric",189.000000,-61.925000,90.000000,top
"R34","10k","R_0201_0603Metric",187.200000,-60.275000,-90.000000,top
"R35","10k","R_0201_0603Metric",192.075000,-56.650000,-90.000000,top
"R36","1k","R_0201_0603Metric",198.950000,-64.625000,90.000000,top
"R37","47k","R_0201_0603Metric",202.550000,-60.830000,-90.000000,top
"R38","10k","R_0201_0603Metric",202.575000,-64.200000,-90.000000,top
"R40","10k","R_0201_0603Metric",168.100000,-106.160000,-90.000000,top
"R41","10k","R_0201_0603Metric",166.250000,-106.085000,-90.000000,top
"R42","10k","R_0201_0603Metric",166.250000,-103.860000,-90.000000,top
"R43","10k","R_0201_0603Metric",166.250000,-101.085000,-90.000000,top
"R45","10k","R_0201_0603Metric",204.180000,-72.740000,90.000000,top
"R46","10k","R_0201_0603Metric",205.430000,-72.740000,-90.000000,top
"R47","10k","R_0201_0603Metric",206.730000,-72.740000,90.000000,top
"R48","3.0k","R_0201_0603Metric",208.030000,-72.740000,-90.000000,top
"R49","3.0k","R_0201_0603Metric",209.355000,-72.755000,90.000000,top
"R50","3.0k","R_0201_0603Metric",202.525000,-70.535000,90.000000,top
"R51","10k","R_0201_0603Metric",199.240000,-72.925000,180.000000,top
"R52","10k","R_0201_0603Metric",200.675000,-74.485000,-90.000000,top
"R53","47k","R_0201_0603Metric",197.025000,-67.250000,0.000000,top
"R54","1k","R_0201_0603Metric",199.325000,-77.525000,-90.000000,top
"R55","100k","R_0201_0603Metric",200.650000,-78.535000,90.000000,top
"R56","1k","R_0201_0603Metric",204.615000,-83.450000,0.000000,top
"R57","100k","R_0201_0603Metric",211.150000,-75.830000,90.000000,top
"R58","100k","R_0201_0603Metric",214.725000,-80.260000,-90.000000,top
"R59","100k","R_0201_0603Metric",212.175000,-78.040000,90.000000,top
"R60","4.7M","R_0201_0603Metric",212.150000,-80.285000,-90.000000,top
"R61","100k","R_0201_0603Metric",207.325000,-75.350000,180.000000,top
"R62","100k","R_0201_0603Metric",213.525000,-73.600000,90.000000,top
"R63","1k","R_0201_0603Metric",163.000000,-63.400000,0.000000,top
"R64","1k","R_0201_0603Metric",163.000000,-64.900000,0.000000,top
"R65","10k","R_0201_0603Metric",192.260000,-112.600000,0.000000,top
